"","neighbourhood_name","species_name","count","proportion"
"1","ARBUTUS-RIDGE","ABIES",2,0.000386922035209905
"2","ARBUTUS-RIDGE","ACERIFOLIA   X",103,0.0199264848133101
"3","ARBUTUS-RIDGE","ACUTISSIMA",5,0.000967305088024763
"4","ARBUTUS-RIDGE","ALNIFOLIA",16,0.00309537628167924
"5","ARBUTUS-RIDGE","AMERICANA",225,0.0435287289611143
"6","ARBUTUS-RIDGE","AQUIFOLIUM",3,0.000580383052814858
"7","ARBUTUS-RIDGE","ARIA",19,0.0036757593344941
"8","ARBUTUS-RIDGE","ARNOLDIANA X",4,0.00077384407041981
"9","ARBUTUS-RIDGE","AUCUPARIA",16,0.00309537628167924
"10","ARBUTUS-RIDGE","AVIUM",15,0.00290191526407429
"11","ARBUTUS-RIDGE","BABYLONICA",2,0.000386922035209905
"12","ARBUTUS-RIDGE","BANKSIANA",1,0.000193461017604953
"13","ARBUTUS-RIDGE","BETULUS",135,0.0261172373766686
"14","ARBUTUS-RIDGE","BIGNONIOIDES",2,0.000386922035209905
"15","ARBUTUS-RIDGE","BILOBA",5,0.000967305088024763
"16","ARBUTUS-RIDGE","BLIREANA",2,0.000386922035209905
"17","ARBUTUS-RIDGE","CALLERYANA",98,0.0189591797252854
"18","ARBUTUS-RIDGE","CAMPESTRE",120,0.0232153221125943
"19","ARBUTUS-RIDGE","CANADENSIS",11,0.00212807119365448
"20","ARBUTUS-RIDGE","CAPPADOCICUM",8,0.00154768814083962
"21","ARBUTUS-RIDGE","CARNEA   X",3,0.000580383052814858
"22","ARBUTUS-RIDGE","CAROLINIANA",14,0.00270845424646934
"23","ARBUTUS-RIDGE","CERASIFERA",895,0.173147610756433
"24","ARBUTUS-RIDGE","CINEREA",13,0.00251499322886438
"25","ARBUTUS-RIDGE","CIRCINATUM",1,0.000193461017604953
"26","ARBUTUS-RIDGE","COCCINEA",2,0.000386922035209905
"27","ARBUTUS-RIDGE","CONTORTA",1,0.000193461017604953
"28","ARBUTUS-RIDGE","CONTROVERSA",12,0.00232153221125943
"29","ARBUTUS-RIDGE","CORDATA",47,0.00909266782743277
"30","ARBUTUS-RIDGE","CRUS-GALLI",19,0.0036757593344941
"31","ARBUTUS-RIDGE","DAWSONIANA",1,0.000193461017604953
"32","ARBUTUS-RIDGE","DECURRENS",1,0.000193461017604953
"33","ARBUTUS-RIDGE","DEODARA",10,0.00193461017604953
"34","ARBUTUS-RIDGE","DOUGLASII",23,0.00444960340491391
"35","ARBUTUS-RIDGE","EUCHLORA   X",55,0.0106403559682724
"36","ARBUTUS-RIDGE","EXCELSIOR",45,0.00870574579222287
"37","ARBUTUS-RIDGE","FLAVA",2,0.000386922035209905
"38","ARBUTUS-RIDGE","FLORIBUNDA",68,0.0131553491971368
"39","ARBUTUS-RIDGE","FLORIDA",3,0.000580383052814858
"40","ARBUTUS-RIDGE","FREEMANI   X",29,0.00561036951054363
"41","ARBUTUS-RIDGE","GERMANICA",6,0.00116076610562972
"42","ARBUTUS-RIDGE","GIGANTEUM",15,0.00290191526407429
"43","ARBUTUS-RIDGE","GINNALA",5,0.000967305088024763
"44","ARBUTUS-RIDGE","GLAUCA",1,0.000193461017604953
"45","ARBUTUS-RIDGE","GLYPTOSTROBOIDES",88,0.0170245695492358
"46","ARBUTUS-RIDGE","GRANDIFLORA",3,0.000580383052814858
"47","ARBUTUS-RIDGE","GRANDIFLORA X",8,0.00154768814083962
"48","ARBUTUS-RIDGE","GRANDIS",18,0.00348229831688915
"49","ARBUTUS-RIDGE","GRISEUM",52,0.0100599729154575
"50","ARBUTUS-RIDGE","HETEROPHYLLA",4,0.00077384407041981
"51","ARBUTUS-RIDGE","HIPPOCASTANUM",125,0.0241826272006191
